,total_population,Municipality_code,latitude,longitude
512,5335.0,13580,8.72201814804,-73.8511788104
513,8125.0,13600,8.49302257209,-73.9970335289
514,7454.0,13620,10.3697208707,-75.0733383524
515,16518.0,13647,10.3646819191,-75.205234868
516,23576.0,13654,9.83536201083,-75.1060920093
517,8079.0,13655,8.23751028846,-74.6683999763
518,35438.0,13657,9.9679578233,-75.0657195872
519,14504.0,13667,8.78769226486,-74.0103273815
520,24669.0,13670,7.4223663198,-74.1356646053
521,14039.0,13673,10.6498127762,-75.2654846304
522,18375.0,13683,10.4692072566,-75.3611605267
523,27825.0,13688,7.77251917281,-74.2627284259
524,15353.0,13744,7.851315534,-73.9837160911
525,9187.0,13760,10.3320903135,-75.1169922568
526,12845.0,13780,9.31344655777,-74.6401021565
527,17939.0,13810,8.49234517566,-74.2967613867
528,98667.0,13836,10.3531075642,-75.3797154105
529,15550.0,13838,10.2160468099,-75.4703776476
530,21135.0,13873,10.4449131983,-75.2673627543
531,11367.0,13894,9.74514702097,-74.8806703673
532,18434.0,20032,9.51072792462,-73.9421464108
533,37531.0,20060,9.94639130927,-73.8662881528
534,30289.0,20175,9.21878186452,-73.7526712425
535,27006.0,20178,9.42664835352,-73.547978944
536,34838.0,20228,9.23877133221,-73.488108612
537,28550.0,20238,10.1999535633,-73.912820636
538,34620.0,20250,9.68177991756,-73.6935032804
539,12444.0,20295,8.33772662202,-73.7064919856
540,4053.0,20310,8.40551652161,-73.3753730851
541,14989.0,20383,8.62133211466,-73.633093759
542,37356.0,20400,9.55134046561,-73.3206839931
543,9313.0,20443,10.3909550729,-72.9916853944
544,16800.0,20517,8.93891614346,-73.5724721252
545,18497.0,20550,8.76411673364,-73.6329554643
546,14408.0,20614,8.20107024499,-73.4875012646
547,23040.0,20710,7.81439059098,-73.4537197507
548,18531.0,20750,10.1695271209,-73.2879827024
549,14063.0,20787,8.90207501224,-73.7633961972
550,459349.0,20001,10.3820362859,-73.4632629326
551,58621.0,20013,9.94921590787,-73.2235824408
552,20477.0,20045,9.72773293903,-73.2525052224
553,26109.0,20621,10.1642465262,-73.190754961
554,22929.0,20570,10.4669619272,-73.5885513642
555,20452.0,20770,7.93778845423,-73.5443631215
556,95878.0,20011,8.24873521908,-73.6227404996
557,28549.0,44078,10.9894109087,-72.6867456052
